Company,Company Score,Job Title,Date,Salary,Skills,Estimation Type,Remote,City,Country
Diamond Light Source,3.8,Data Analyst Scientist - Diamond Light Source and Fragment-Screen,8.0,55000.0,"Azure, R, Data analysis skills, Git, Google Cloud Platform",Employer est.,Onsite,Didcot,England
Geomiq,4.0,Senior Data Scientist,41.0,63000.0,"TensorFlow, Azure, Kubernetes, Google Cloud Platform, AWS",Glasdoor est.,Onsite,London,England
BAE Systems,2.6,Data Scientist - Gloucester - National Security,2.0,85500.0,"MATLAB, Data mining, SAS, R, Apache Hive",Glasdoor est.,Onsite,Gloucester,England
Futurice GmbH,3.8,Data & AI Specialist,13.0,67500.0,"Power BI, Microsoft Excel, Data analysis skills, Analysis skills, Project management",Glasdoor est.,Onsite,London,England
Innovative Technology Ltd,4.2,Data Scientist,31.0,58500.0,"Machine learning, REST, Natural language processing, APIs, Communication skills",Glasdoor est.,Onsite,Oldham,England
managementsolutions,4.2,DATA SCIENCE CONSULTANT LONDON,40.0,71000.0,"TensorFlow, Azure, Git, SQL, Analysis skills",Glasdoor est.,Onsite,London,England
OneAdvanced,3.7,Data Scientist,41.0,49000.0,"Data analysis skills, Git, SQL, Database design, AWS",Glasdoor est.,Onsite,Birmingham,England
Global Dimensions,4.1,Data Scientist,42.0,38500.0,"Spark, English, SQL, Machine learning, Software development",Glasdoor est.,Onsite,Molesworth,England
Chubb,4.2,"Data Scientist, Consumer Lines- Insurance",39.0,55000.0,"Power BI, R, Data analysis skills, Tableau, SQL",Employer est.,Onsite,London,England
Insilico Medicine,4.5,Senior Data Scientist (UAE),32.0,50000.0,"English, SQL, Machine learning, Python",Glasdoor est.,Remote,,
Booking.com,3.8,Machine Learning Scientist II,13.0,77500.0,"Underwriting, R, Microsoft Office, OOP, Docker",Employer est.,Onsite,Manchester,England
TW,3.3,Lead Data Analyst,41.0,97000.0,"Azure, Management, R, Microsoft SQL Server, NoSQL",Glasdoor est.,Onsite,Birmingham,England
DataCamp,3.9,Data Science Content Developer,39.0,49000.0,"Data modelling, SQL, OOP, Product management, Data warehouse",Glasdoor est.,Onsite,London,England
Chubb,3.8,Data Scientist,44.0,34500.0,"Cloud computing, Python",Glasdoor est.,Onsite,London,England
Public Health Wales,2.9,Principal Public Health Data Scientist,17.0,137000.0,"TensorFlow, Software deployment, OOP, Maths, Machine learning",Glasdoor est.,Onsite,Cardiff,Wales
Meta,3.2,"Data Engineer, Analytics",37.0,59000.0,"Power BI, Microsoft Excel, English, Bloomberg, Tableau",Glasdoor est.,Onsite,London,England
Pythia Sports,3.4,Data Scientist - Cricket,37.0,40000.0,"Machine learning, AI",Employer est.,Onsite,London,England
C3 AI,4.1,Data Scientist/Senior Data Scientist - Generative AI,3.0,73500.0,"SAS, Software deployment, Spark, R, SQL",Glasdoor est.,Onsite,London,England
Bloomberg,3.8,BloombergNEF Quant Modeling Data Scientist,6.0,104500.0,"Data mining, Business intelligence, MongoDB, Tableau, AWS",Glasdoor est.,Onsite,London,England
PGSM Consulting,3.2,AI Scientist - Machine Learning,42.0,102000.0,"Azure, Spark, Google Cloud Platform, Statistical analysis, AWS",Glasdoor est.,Onsite,Reading,England
Aviva,3.5,Lead Data Scientist,30.0,24960.0,"Cloud infrastructure, Machine learning, Deep learning, Agile, Data science",Employer est.,Onsite,Norwich,England
Sensor Tower,3.7,Senior Data Scientist - Ad Intelligence,38.0,61500.0,"Statistics, Tableau, Scripting, Python",Glasdoor est.,Onsite,London,England
VIVID Housing,4.0,Senior Data Scientist,9.0,32500.0,"TensorFlow, Cloud infrastructure, Google Cloud Platform, AWS, Analysis skills",Employer est.,Onsite,Basingstoke,England
Coventry Building Society,2.8,Principal Data Scientist,39.0,34000.0,"Azure, Business intelligence, Big data, Spark, Google Cloud Platform",Employer est.,Onsite,Coventry,England
Sotheby's,4.2,Senior Data Scientist,35.0,67000.0,"Machine learning, Deep learning, AI, Leadership",Glasdoor est.,Onsite,London,England
Choreograph,4.0,Data Scientist,37.0,73000.0,"Big data, Google Cloud Platform, SQL, Linux, Data science",Glasdoor est.,Onsite,London,England
Mastercard,3.4,"Director, Applied Data Science",38.0,67000.0,"MATLAB, R, Cloud computing, Data science, Python",Employer est.,Onsite,London,England
Yorkshire Building Society,4.3,"Data Intelligence Partner - AI, ML and Analytics",33.0,30000.0,"LabView, MATLAB, React, Visual Studio, Git",Employer est.,Onsite,Leeds,England
Sky,4.2,Senior Data Scientist,26.0,92500.0,"Microsoft SQL Server, Bloomberg, SQL, Maths, PostgreSQL",Glasdoor est.,Onsite,London,England
Pythia Sports,3.7,Data Scientist - Bayesian,41.0,76000.0,"TensorFlow, Statistics, Spark, Machine learning, Scala",Glasdoor est.,Onsite,London,England
Faculty,4.5,Data Scientist - Sonar Systems,31.0,110500.0,"Power BI, Azure, Business intelligence, Big data, Data analysis skills",Glasdoor est.,Onsite,London,England
Hudson River Trading,3.0,Data Production Engineer,44.0,61000.0,"Data modelling, SAS, Big data, R, NoSQL",Glasdoor est.,Onsite,London,England
Expedia Group,3.4,Machine Learning Scientist III (Meta bidding),2.0,63500.0,"TensorFlow, MATLAB, Machine learning, Data science, Python",Glasdoor est.,Onsite,London,England
InPost UK,3.8,Big Data Analyst,9.0,70500.0,"Machine learning, Data science, Python",Glasdoor est.,Onsite,London,England
BAE Systems,4.2,Data Scientist – Gloucester – National Security,33.0,85000.0,"Power BI, Azure, Data mining, Management, Spark",Employer est.,Onsite,Gloucester,England
CGI,3.4,Data Scientist (DV Security Clearance),11.0,69500.0,"Data modelling, Azure, Maths, Presentation skills, Data science",Glasdoor est.,Onsite,Gloucester,England
Datasource,4.1,Data Science Consultant,42.0,54500.0,"Kubernetes, Relational databases, SQL, AWS, Maths",Glasdoor est.,Onsite,Manchester,England
